Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
br = null,Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.000s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.022s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.001s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/td_25022019""), CDATE)",Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.093s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/td_25022019""), UDATE)",Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.038s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:33,0.711s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-11,Chrome 73.0.3683.86,,2019-04-03 16:42:33,2019-04-03 16:42:47,14.238s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:42:33,2019-04-03 16:42:36,3.467s,PASSED
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:42:36,2019-04-03 16:42:39,2.530s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:42:39,2019-04-03 16:42:39,0.196s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:42:39,2019-04-03 16:42:39,0.258s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:42:39,2019-04-03 16:42:40,0.194s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Loi Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:42:40,2019-04-03 16:42:42,2.447s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/a_Xem Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:42:42,2019-04-03 16:42:43,0.515s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/a_Xem Hng Dn""))",Chrome 73.0.3683.86,,2019-04-03 16:42:43,2019-04-03 16:42:43,0.372s,PASSED
